Date,ndvi,sm
2018-12-16,0.223093620208531,0.106646126295839
2018-12-17,0.224249068475815,0.39958173448879
2018-12-18,0.225404516743099,0.506098730654699
2018-12-19,0.226559965010383,0.595574055862624
2018-12-20,0.227715413277667,0.662940794831092
2018-12-21,0.228870861544951,0.717567003983649
2018-12-22,0.230026309812235,0.620716800497113
2018-12-23,0.229527085857057,0.551525792982528
2018-12-24,0.229027861901878,0.547277101380002
2018-12-25,0.233816626287099,0.543977904339827
2018-12-26,0.241610198364628,0.541365925449575
2018-12-27,0.249403770442157,0.495504422337274
2018-12-28,0.25222403089037,0.458180468135172
2018-12-29,0.257147656723198,0.396227216356829
2018-12-30,0.26044584721381,0.344385518452042
2018-12-31,0.264645480012114,0.301127747050275
2019-01-01,0.268845112810418,0.295337907314555
2019-01-02,0.271606223500909,0.290456170905588
2019-01-03,0.274066853422169,0.286323602494733
2019-01-04,0.274594469261054,0.339429486151179
2019-01-05,0.276324008176863,0.384668676613469
2019-01-06,0.278053547092671,0.422213633826111
2019-01-07,0.273894136129618,0.454342157797223
2019-01-08,0.269734725166566,0.481884925107772
2019-01-09,0.266994908388855,0.476104871859603
2019-01-10,0.264255091611145,0.471135653567353
2019-01-11,0.262416717141127,0.487407619228272
2019-01-12,0.262203778013325,0.501426419463109
2019-01-13,0.261089396577832,0.513514152354778
2019-01-14,0.257344033918837,0.52078080426422
2019-01-15,0.251795786644458,0.527054929783713
2019-01-16,0.246247539370079,0.500790166430175
2019-01-17,0.242632306178074,0.478089934905526
2019-01-18,0.239017072986069,0.458462580164278
2019-01-19,0.235387643852211,0.468448328481365
2019-01-20,0.232359176256814,0.477087925321713
2019-01-21,0.229330708661417,0.484564795687332
2019-01-22,0.224882646880678,0.546635454498006
2019-01-23,0.222537950484555,0.600992966440332
2019-01-24,0.221127820260448,0.647998037910562
2019-01-25,0.219717690036342,0.688641615640904
2019-01-26,0.218307559812235,0.723816486493427
2019-01-27,0.219528410811629,0.714860554077503
2019-01-28,0.222552146426408,0.687325454860052
2019-01-29,0.225675253634161,0.704922569650862
2019-01-30,0.228798360841914,0.723830149332427
2019-01-31,0.231921468049667,0.743188971691135
2019-02-01,0.233255886583889,0.757420951604845
2019-02-02,0.23459030511811,0.769754608531566
2019-02-03,0.239118810569352,0.756764509433467
2019-02-04,0.243647316020594,0.745506265994962
2019-02-05,0.24607245608722,0.735748654073303
2019-02-06,0.247563029981829,0.687750443886534
2019-02-07,0.249053603876439,0.646147989474467
2019-02-08,0.251925916111448,0.610088364408214
2019-02-09,0.251793420654149,0.641923481968203
2019-02-10,0.251660925196851,0.670297066896197
2019-02-11,0.251429058146578,0.65958850197229
2019-02-12,0.251197191096306,0.650306182185061
2019-02-13,0.251022107813447,0.642260055782247
2019-02-14,0.252649909145972,0.621502937439847
2019-02-15,0.254277710478498,0.603509911627607
2019-02-16,0.252711424894004,0.625254121723191
2019-02-17,0.250544177771048,0.644103022677933
2019-02-18,0.249091459721381,0.660442217162969
2019-02-19,0.247638741671714,0.659004426757636
2019-02-20,0.246186023622047,0.657758078435592
2019-02-21,0.24335156723198,0.614853335836088
2019-02-22,0.243521918534221,0.577660801346399
2019-02-23,0.243692269836463,0.545419895808336
2019-02-24,0.245365024984857,0.513571121641242
2019-02-25,0.243131530133252,0.48596241509152
2019-02-26,0.240841251514234,0.459949182405207
2019-02-27,0.238550972895215,0.499281641127415
2019-02-28,0.236260694276196,0.536996687629576
2019-03-01,0.233970415657177,0.536385205387002
2019-03-02,0.23228109857662,0.535855107242197
2019-03-03,0.229877252422774,0.535395587010915
2019-03-04,0.227473406268928,0.542277455123805
2019-03-05,0.223266675499697,0.548243166119141
2019-03-06,0.219059944730466,0.591945571737788
2019-03-07,0.214853213961236,0.634595788797977
2019-03-08,0.210646483192005,0.674589015832883
2019-03-09,0.20493734857662,0.65062940695146
2019-03-10,0.203134463961235,0.629859396046183
2019-03-11,0.201331579345851,0.656575256505184
2019-03-12,0.202533502422774,0.679734638657832
2019-03-13,0.200730617807389,0.699810988049818
2019-03-14,0.198927733192005,0.714354644738682
2019-03-15,0.19712484857662,0.726962200497414
2019-03-16,0.196352183741455,0.735811358332035
2019-03-17,0.19557951890629,0.752582668858087
2019-03-18,0.194806854071125,0.76712135500537
2019-03-19,0.194034189235961,0.740983938395953
2019-03-20,0.193261524400796,0.718325991210756
2019-03-21,0.192488859565631,0.698684316795209
