"Date","ndvi"
2018-12-16,0.223093620208531
2018-12-17,0.224249068475815
2018-12-18,0.225404516743099
2018-12-19,0.226559965010383
2018-12-20,0.227715413277667
2018-12-21,0.228870861544951
2018-12-22,0.230026309812235
2018-12-23,0.229527085857057
2018-12-24,0.229027861901878
2018-12-25,0.233816626287099
2018-12-26,0.241610198364628
2018-12-27,0.249403770442157
2018-12-28,0.25222403089037
2018-12-29,0.257147656723198
2018-12-30,0.26044584721381
2018-12-31,0.264645480012114
2019-01-01,0.268845112810418
2019-01-02,0.271606223500909
2019-01-03,0.274066853422169
2019-01-04,0.274594469261054
2019-01-05,0.276324008176863
2019-01-06,0.278053547092671
2019-01-07,0.273894136129618
2019-01-08,0.269734725166566
2019-01-09,0.266994908388855
2019-01-10,0.264255091611145
2019-01-11,0.262416717141127
2019-01-12,0.262203778013325
2019-01-13,0.261089396577832
2019-01-14,0.257344033918837
2019-01-15,0.251795786644458
2019-01-16,0.246247539370079
2019-01-17,0.242632306178074
2019-01-18,0.239017072986069
2019-01-19,0.235387643852211
2019-01-20,0.232359176256814
2019-01-21,0.229330708661417
2019-01-22,0.224882646880678
2019-01-23,0.222537950484555
2019-01-24,0.221127820260448
2019-01-25,0.219717690036342
2019-01-26,0.218307559812235
2019-01-27,0.219528410811629
2019-01-28,0.222552146426408
2019-01-29,0.225675253634161
2019-01-30,0.228798360841914
2019-01-31,0.231921468049667
2019-02-01,0.233255886583889
2019-02-02,0.23459030511811
2019-02-03,0.239118810569352
2019-02-04,0.243647316020594
2019-02-05,0.24607245608722
2019-02-06,0.247563029981829
2019-02-07,0.249053603876439
2019-02-08,0.251925916111448
2019-02-09,0.251793420654149
2019-02-10,0.251660925196851
2019-02-11,0.251429058146578
2019-02-12,0.251197191096306
2019-02-13,0.251022107813447
2019-02-14,0.252649909145972
2019-02-15,0.254277710478498
2019-02-16,0.252711424894004
2019-02-17,0.250544177771048
2019-02-18,0.249091459721381
2019-02-19,0.247638741671714
2019-02-20,0.246186023622047
2019-02-21,0.24335156723198
2019-02-22,0.243521918534221
2019-02-23,0.243692269836463
2019-02-24,0.245365024984857
2019-02-25,0.243131530133252
2019-02-26,0.240841251514234
2019-02-27,0.238550972895215
2019-02-28,0.236260694276196
2019-03-01,0.233970415657177
2019-03-02,0.23228109857662
2019-03-03,0.229877252422774
2019-03-04,0.227473406268928
2019-03-05,0.223266675499697
2019-03-06,0.219059944730466
2019-03-07,0.214853213961236
2019-03-08,0.210646483192005
2019-03-09,0.20493734857662
2019-03-10,0.203134463961235
2019-03-11,0.201331579345851
2019-03-12,0.202533502422774
2019-03-13,0.200730617807389
2019-03-14,0.198927733192005
2019-03-15,0.19712484857662
2019-03-16,0.196352183741455
2019-03-17,0.19557951890629
2019-03-18,0.194806854071125
2019-03-19,0.194034189235961
2019-03-20,0.193261524400796
2019-03-21,0.192488859565631
