,Date,sm
204,2018-12-22,0.28597891806248604
205,2018-12-23,0.30106214405292797
206,2018-12-24,0.31413746633303496
207,2018-12-25,0.32547217028242303
208,2018-12-26,0.32801786679100203
209,2018-12-27,0.33022465591965994
210,2018-12-28,0.31445739767262
211,2018-12-29,0.28622888374981104
212,2018-12-30,0.26175820353603196
213,2018-12-31,0.283185786248403
214,2019-01-01,0.301760910995622
215,2019-01-02,0.317863268558448
216,2019-01-03,0.328702004804573
217,2019-01-04,0.338097846803459
218,2019-01-05,0.36291846457048604
219,2019-01-06,0.38443489370147704
220,2019-01-07,0.40308701059667496
221,2019-01-08,0.39845579035264395
222,2019-01-09,0.39444107643349396
223,2019-01-10,0.40136097374518104
224,2019-01-11,0.407359675825875
225,2019-01-12,0.41255981808681397
226,2019-01-13,0.410827608039169
227,2019-01-14,0.40932600044319606
228,2019-01-15,0.37994385399476094
229,2019-01-16,0.35447312608109205
230,2019-01-17,0.33155241231530796
231,2019-01-18,0.33976338961392893
232,2019-01-19,0.34688131138150996
233,2019-01-20,0.35305168045397706
234,2019-01-21,0.32616012838194797
235,2019-01-22,0.30284843430931396
236,2019-01-23,0.318000599467945
237,2019-01-24,0.33113568386617603
238,2019-01-25,0.34252219824235497
